Nome;Cognome;Età;Statura;Peso;Genere;Capigliatura;Fumatore;Regione
M;A;Giovane;Medio;In carne;Maschio;Rasata;Si;Sicilia
M;A;Vecchio;Medio;In carne;Maschio;Folta;Si;Sicilia
M;A;Adulto;Alto;In carne;Maschio;Folta;No;Sicilia
M;A;Giovane;Alto;In carne;Maschio;Corta;No;Sicilia
M;A;Vecchio;Alto;In carne;Maschio;Rasata;No;Sicilia
M;A;Adulto;Basso;In carne;Maschio;Corta;No;Sicilia
M;A;Giovane;Basso;In carne;Maschio;Folta;No;Sicilia
M;A;Vecchio;Basso;In carne;Maschio;Rasata;No;Sicilia
M;A;Adulto;Medio;In carne;Maschio;Rasata;No;Sicilia
M;A;Giovane;Medio;In carne;Maschio;Rasata;No;Sicilia
M;A;Vecchio;Medio;In carne;Maschio;Folta;No;Sicilia
M;A;Adulto;Alto;In carne;Donna;Folta;Si;Lazio
M;A;Giovane;Alto;In carne;Donna;Corta;Si;Lazio
M;A;Vecchio;Alto;In carne;Donna;Rasata;Si;Lazio
M;A;Adulto;Basso;In carne;Donna;Corta;Si;Lazio
M;A;Giovane;Basso;In carne;Donna;Folta;Si;Lazio
M;A;Vecchio;Basso;In carne;Donna;Rasata;Si;Lazio
M;A;Adulto;Medio;In carne;Donna;Rasata;Si;Lazio
M;A;Giovane;Medio;In carne;Donna;Rasata;Si;Lazio
M;A;Vecchio;Medio;In carne;Donna;Folta;Si;Lazio
M;A;Adulto;Alto;In carne;Donna;Folta;No;Lazio
M;A;Giovane;Alto;In carne;Donna;Corta;No;Lazio
M;A;Vecchio;Alto;In carne;Donna;Rasata;No;Lazio
M;A;Adulto;Basso;In carne;Donna;Corta;No;Lazio
M;A;Giovane;Basso;In carne;Donna;Folta;No;Lazio
M;A;Vecchio;Basso;In carne;Donna;Rasata;No;Lazio
M;A;Adulto;Medio;In carne;Donna;Rasata;No;Lazio
M;A;Giovane;Medio;In carne;Donna;Rasata;No;Lazio
M;A;Vecchio;Medio;In carne;Donna;Folta;No;Lazio
M;A;Adulto;Alto;In carne;Donna;Folta;Si;Calabria
M;A;Giovane;Alto;In carne;Donna;Corta;Si;Calabria
M;A;Vecchio;Alto;In carne;Donna;Rasata;Si;Calabria
M;A;Adulto;Basso;In carne;Donna;Corta;Si;Calabria
M;A;Giovane;Basso;In carne;Donna;Folta;Si;Calabria
M;A;Vecchio;Basso;In carne;Donna;Rasata;Si;Calabria
M;A;Adulto;Medio;In carne;Donna;Rasata;Si;Calabria
M;A;Giovane;Medio;In carne;Donna;Rasata;Si;Calabria
M;A;Vecchio;Medio;In carne;Donna;Folta;Si;Calabria
M;A;Adulto;Alto;In carne;Donna;Folta;No;Calabria
M;A;Giovane;Alto;In carne;Donna;Corta;No;Calabria
M;A;Vecchio;Alto;In carne;Donna;Rasata;No;Calabria
M;A;Adulto;Basso;In carne;Donna;Corta;No;Calabria
M;A;Giovane;Basso;In carne;Donna;Folta;No;Calabria
M;A;Vecchio;Basso;In carne;Donna;Rasata;No;Calabria
M;A;Adulto;Medio;In carne;Donna;Rasata;No;Calabria
M;A;Giovane;Medio;In carne;Donna;Rasata;No;Calabria
M;A;Vecchio;Medio;In carne;Donna;Folta;No;Calabria
M;A;Adulto;Alto;In carne;Donna;Folta;Si;Sicilia
M;A;Giovane;Alto;In carne;Donna;Corta;Si;Sicilia
M;A;Vecchio;Alto;In carne;Donna;Rasata;Si;Sicilia
M;A;Adulto;Basso;In carne;Donna;Corta;Si;Sicilia
M;A;Giovane;Basso;In carne;Donna;Folta;Si;Sicilia
M;A;Vecchio;Basso;In carne;Donna;Rasata;Si;Sicilia
M;A;Adulto;Medio;In carne;Donna;Rasata;Si;Sicilia
M;A;Giovane;Medio;In carne;Donna;Rasata;Si;Sicilia
M;A;Vecchio;Medio;In carne;Donna;Folta;Si;Sicilia
M;A;Adulto;Alto;In carne;Donna;Folta;No;Sicilia
M;A;Giovane;Alto;In carne;Donna;Corta;No;Sicilia
M;A;Vecchio;Alto;In carne;Donna;Rasata;No;Sicilia
M;A;Adulto;Basso;In carne;Donna;Corta;No;Sicilia
M;A;Giovane;Basso;In carne;Donna;Folta;No;Sicilia
M;A;Vecchio;Basso;In carne;Donna;Rasata;No;Sicilia
M;A;Adulto;Medio;In carne;Donna;Rasata;No;Sicilia
M;A;Giovane;Medio;In carne;Donna;Rasata;No;Sicilia
M;A;Vecchio;Medio;In carne;Donna;Folta;No;Sicilia
M;A;Giovane;Basso;In carne;Maschio;Folta;Si;Calabria
M;A;Vecchio;Basso;In carne;Maschio;Rasata;Si;Calabria
M;A;Adulto;Medio;In carne;Maschio;Rasata;Si;Calabria
M;A;Giovane;Medio;In carne;Maschio;Rasata;Si;Calabria
M;A;Vecchio;Medio;In carne;Maschio;Folta;Si;Calabria
M;A;Adulto;Alto;In carne;Maschio;Folta;No;Calabria
M;A;Giovane;Alto;In carne;Maschio;Corta;No;Calabria
M;A;Vecchio;Alto;In carne;Maschio;Rasata;No;Calabria
M;A;Adulto;Basso;In carne;Maschio;Corta;No;Calabria
M;A;Giovane;Basso;In carne;Maschio;Folta;No;Calabria
M;A;Vecchio;Basso;In carne;Maschio;Rasata;No;Calabria
M;A;Adulto;Medio;In carne;Maschio;Rasata;No;Calabria
M;A;Giovane;Medio;In carne;Maschio;Rasata;No;Calabria
M;A;Vecchio;Medio;In carne;Maschio;Folta;No;Calabria
M;A;Adulto;Alto;In carne;Maschio;Folta;Si;Sicilia
M;A;Giovane;Alto;In carne;Maschio;Corta;Si;Sicilia
M;A;Vecchio;Alto;In carne;Maschio;Rasata;Si;Sicilia
M;A;Adulto;Basso;In carne;Maschio;Corta;Si;Sicilia
M;A;Giovane;Basso;In carne;Maschio;Folta;Si;Sicilia
M;A;Vecchio;Basso;In carne;Maschio;Rasata;Si;Sicilia
M;A;Adulto;Medio;In carne;Maschio;Rasata;Si;Sicilia
M;A;Giovane;Medio;In carne;Maschio;Rasata;Si;Sicilia
M;A;Vecchio;Medio;In carne;Maschio;Folta;Si;Sicilia
M;A;Adulto;Alto;In carne;Maschio;Folta;No;Sicilia
M;A;Giovane;Alto;In carne;Maschio;Corta;No;Sicilia
M;A;Vecchio;Alto;In carne;Maschio;Rasata;No;Sicilia
M;A;Adulto;Basso;In carne;Maschio;Corta;No;Sicilia
M;A;Giovane;Basso;In carne;Maschio;Folta;No;Sicilia
M;A;Vecchio;Basso;In carne;Maschio;Rasata;No;Sicilia
M;A;Adulto;Medio;In carne;Maschio;Rasata;No;Sicilia
M;A;Giovane;Medio;In carne;Maschio;Rasata;No;Sicilia
M;A;Vecchio;Medio;In carne;Maschio;Folta;No;Sicilia
M;A;Adulto;Alto;In carne;Donna;Folta;Si;Lazio
M;A;Giovane;Alto;In carne;Donna;Corta;Si;Lazio
M;A;Vecchio;Alto;In carne;Donna;Rasata;Si;Lazio
M;A;Adulto;Basso;In carne;Donna;Corta;Si;Lazio
M;A;Giovane;Basso;In carne;Donna;Folta;Si;Lazio
M;A;Vecchio;Basso;In carne;Donna;Rasata;Si;Lazio
M;A;Adulto;Medio;In carne;Donna;Rasata;Si;Lazio
M;A;Giovane;Medio;In carne;Donna;Rasata;Si;Lazio
M;A;Vecchio;Medio;In carne;Donna;Folta;Si;Lazio
M;A;Adulto;Alto;In carne;Donna;Folta;No;Lazio
M;A;Giovane;Alto;In carne;Donna;Corta;No;Lazio
M;A;Vecchio;Alto;In carne;Donna;Rasata;No;Lazio
M;A;Adulto;Basso;In carne;Donna;Corta;No;Lazio
M;A;Giovane;Basso;In carne;Donna;Folta;No;Lazio
M;A;Vecchio;Basso;In carne;Donna;Rasata;No;Lazio
M;A;Adulto;Medio;In carne;Donna;Rasata;No;Lazio
M;A;Giovane;Medio;In carne;Donna;Rasata;No;Lazio
M;A;Vecchio;Medio;In carne;Donna;Folta;No;Lazio
M;A;Adulto;Alto;In carne;Donna;Folta;Si;Calabria
M;A;Giovane;Alto;In carne;Donna;Corta;Si;Calabria
M;A;Vecchio;Alto;In carne;Donna;Rasata;Si;Calabria
M;A;Adulto;Basso;In carne;Donna;Corta;Si;Calabria
M;A;Giovane;Basso;In carne;Donna;Folta;Si;Calabria
M;A;Vecchio;Basso;In carne;Donna;Rasata;Si;Calabria
M;A;Adulto;Medio;In carne;Donna;Rasata;Si;Calabria
M;A;Giovane;Medio;In carne;Donna;Rasata;Si;Calabria
M;A;Vecchio;Medio;In carne;Donna;Folta;Si;Calabria
M;A;Adulto;Alto;In carne;Donna;Folta;No;Calabria
M;A;Giovane;Alto;In carne;Donna;Corta;No;Calabria
M;A;Vecchio;Alto;In carne;Donna;Rasata;No;Calabria
M;A;Adulto;Basso;In carne;Donna;Corta;No;Calabria
M;A;Giovane;Basso;In carne;Donna;Folta;No;Calabria
M;A;Vecchio;Basso;In carne;Donna;Rasata;No;Calabria
M;A;Adulto;Medio;In carne;Donna;Rasata;No;Calabria
M;A;Giovane;Medio;In carne;Donna;Rasata;No;Calabria
M;A;Vecchio;Medio;In carne;Donna;Folta;No;Calabria
M;A;Adulto;Alto;In carne;Donna;Folta;Si;Sicilia
M;A;Giovane;Alto;In carne;Donna;Corta;Si;Sicilia
M;A;Vecchio;Alto;In carne;Donna;Rasata;Si;Sicilia
M;A;Adulto;Basso;In carne;Donna;Corta;Si;Sicilia
M;A;Giovane;Basso;In carne;Donna;Folta;Si;Sicilia
M;A;Vecchio;Basso;In carne;Donna;Rasata;Si;Sicilia
M;A;Adulto;Medio;In carne;Donna;Rasata;Si;Sicilia
M;A;Giovane;Medio;In carne;Donna;Rasata;Si;Sicilia
M;A;Vecchio;Medio;In carne;Donna;Folta;Si;Sicilia
M;A;Adulto;Alto;In carne;Donna;Folta;No;Sicilia
M;A;Giovane;Alto;In carne;Donna;Corta;No;Sicilia
M;A;Vecchio;Alto;In carne;Donna;Rasata;No;Sicilia
M;A;Vecchio;Alto;In carne;Maschio;Rasata;Si;Lazio
M;A;Adulto;Basso;In carne;Maschio;Corta;Si;Lazio
M;A;Giovane;Basso;In carne;Maschio;Folta;Si;Lazio
M;A;Vecchio;Basso;In carne;Maschio;Rasata;Si;Lazio
M;A;Adulto;Medio;In carne;Maschio;Rasata;Si;Lazio
M;A;Giovane;Medio;In carne;Maschio;Rasata;Si;Lazio
M;A;Vecchio;Medio;In carne;Maschio;Folta;Si;Lazio
M;A;Adulto;Alto;In carne;Maschio;Folta;No;Lazio
M;A;Giovane;Alto;In carne;Maschio;Corta;No;Lazio
M;A;Vecchio;Alto;In carne;Maschio;Rasata;No;Lazio
M;A;Adulto;Basso;In carne;Maschio;Corta;No;Lazio
M;A;Giovane;Basso;In carne;Maschio;Folta;No;Lazio
M;A;Vecchio;Basso;In carne;Maschio;Rasata;No;Lazio
M;A;Adulto;Medio;In carne;Maschio;Rasata;No;Lazio
M;A;Giovane;Medio;In carne;Maschio;Rasata;No;Lazio
M;A;Vecchio;Medio;In carne;Maschio;Folta;No;Lazio
M;A;Adulto;Alto;In carne;Maschio;Folta;Si;Calabria
M;A;Giovane;Alto;In carne;Maschio;Corta;Si;Calabria
M;A;Vecchio;Alto;In carne;Maschio;Rasata;Si;Calabria
M;A;Adulto;Basso;In carne;Maschio;Corta;Si;Calabria
M;A;Giovane;Basso;In carne;Maschio;Folta;Si;Calabria
M;A;Vecchio;Basso;In carne;Maschio;Rasata;Si;Calabria
M;A;Adulto;Medio;In carne;Maschio;Rasata;Si;Calabria
M;A;Giovane;Medio;In carne;Maschio;Rasata;Si;Calabria
M;A;Vecchio;Medio;In carne;Maschio;Folta;Si;Calabria
M;A;Adulto;Alto;In carne;Maschio;Folta;No;Calabria
M;A;Giovane;Alto;In carne;Maschio;Corta;No;Calabria
M;A;Vecchio;Alto;In carne;Maschio;Rasata;No;Calabria
M;A;Adulto;Basso;In carne;Maschio;Corta;No;Calabria
M;A;Giovane;Basso;In carne;Maschio;Folta;No;Calabria
M;A;Vecchio;Basso;In carne;Maschio;Rasata;No;Calabria
M;A;Adulto;Medio;In carne;Maschio;Rasata;No;Calabria
M;A;Giovane;Medio;In carne;Maschio;Rasata;No;Calabria
M;A;Vecchio;Medio;In carne;Maschio;Folta;No;Calabria
M;A;Adulto;Alto;In carne;Maschio;Folta;Si;Sicilia
M;A;Giovane;Alto;In carne;Maschio;Corta;Si;Sicilia
M;A;Vecchio;Alto;In carne;Maschio;Rasata;Si;Sicilia
M;A;Adulto;Basso;In carne;Maschio;Corta;Si;Sicilia
M;A;Giovane;Basso;In carne;Maschio;Folta;Si;Sicilia
M;A;Vecchio;Basso;In carne;Maschio;Rasata;Si;Sicilia
M;A;Adulto;Medio;In carne;Maschio;Rasata;Si;Sicilia
M;A;Giovane;Medio;In carne;Maschio;Rasata;Si;Sicilia
M;A;Vecchio;Medio;In carne;Maschio;Folta;Si;Sicilia
M;A;Adulto;Alto;In carne;Maschio;Folta;No;Sicilia
M;A;Giovane;Alto;In carne;Maschio;Corta;No;Sicilia
M;A;Vecchio;Alto;In carne;Maschio;Rasata;No;Sicilia
M;A;Adulto;Basso;In carne;Maschio;Corta;No;Sicilia
M;A;Giovane;Basso;In carne;Maschio;Folta;No;Sicilia
M;A;Vecchio;Basso;In carne;Maschio;Rasata;No;Sicilia
M;A;Adulto;Medio;In carne;Maschio;Rasata;No;Sicilia
M;A;Giovane;Medio;In carne;Maschio;Rasata;No;Sicilia
M;A;Vecchio;Medio;In carne;Maschio;Folta;No;Sicilia
M;A;Adulto;Alto;In carne;Donna;Folta;Si;Lazio
M;A;Giovane;Alto;In carne;Donna;Corta;Si;Lazio
M;A;Vecchio;Alto;In carne;Donna;Rasata;Si;Lazio
M;A;Adulto;Basso;In carne;Donna;Corta;Si;Lazio
M;A;Giovane;Basso;In carne;Donna;Folta;Si;Lazio
M;A;Vecchio;Basso;In carne;Donna;Rasata;Si;Lazio
M;A;Adulto;Medio;In carne;Donna;Rasata;Si;Lazio
M;A;Giovane;Medio;In carne;Donna;Rasata;Si;Lazio
M;A;Vecchio;Medio;In carne;Donna;Folta;Si;Lazio
M;A;Adulto;Alto;In carne;Donna;Folta;No;Lazio
M;A;Giovane;Alto;In carne;Donna;Corta;No;Lazio
M;A;Vecchio;Alto;In carne;Donna;Rasata;No;Lazio
M;A;Adulto;Basso;In carne;Donna;Corta;No;Lazio
M;A;Giovane;Basso;In carne;Donna;Folta;No;Lazio
M;A;Vecchio;Basso;In carne;Donna;Rasata;No;Lazio
M;A;Adulto;Medio;In carne;Donna;Rasata;No;Lazio
M;A;Giovane;Medio;In carne;Donna;Rasata;No;Lazio
M;A;Vecchio;Medio;In carne;Donna;Folta;Si;Lazio
M;A;Adulto;Alto;In carne;Donna;Folta;No;Lazio
M;A;Giovane;Alto;In carne;Donna;Corta;No;Lazio
M;A;Vecchio;Alto;In carne;Donna;Rasata;No;Lazio
M;A;Adulto;Basso;In carne;Donna;Corta;No;Lazio
M;A;Giovane;Basso;In carne;Donna;Folta;No;Lazio
M;A;Vecchio;Basso;In carne;Donna;Rasata;No;Lazio
M;A;Adulto;Medio;In carne;Donna;Rasata;No;Lazio
M;A;Giovane;Medio;In carne;Donna;Rasata;No;Lazio
M;A;Vecchio;Medio;In carne;Donna;Folta;No;Lazio
M;A;Adulto;Alto;In carne;Donna;Folta;Si;Calabria
M;A;Giovane;Alto;In carne;Donna;Corta;Si;Calabria
M;A;Vecchio;Alto;In carne;Donna;Rasata;Si;Calabria
M;A;Adulto;Basso;In carne;Donna;Corta;Si;Calabria
M;A;Giovane;Basso;In carne;Donna;Folta;Si;Calabria
M;A;Vecchio;Basso;In carne;Donna;Rasata;Si;Calabria
M;A;Adulto;Medio;In carne;Donna;Rasata;Si;Calabria
M;A;Giovane;Medio;In carne;Donna;Rasata;Si;Calabria
M;A;Vecchio;Medio;In carne;Donna;Folta;Si;Calabria
M;A;Adulto;Alto;In carne;Donna;Folta;No;Calabria
M;A;Giovane;Alto;In carne;Donna;Corta;No;Calabria
M;A;Vecchio;Alto;In carne;Donna;Rasata;No;Calabria
M;A;Adulto;Basso;In carne;Donna;Corta;No;Calabria
M;A;Giovane;Basso;In carne;Donna;Folta;No;Calabria
M;A;Vecchio;Basso;In carne;Donna;Rasata;No;Calabria
M;A;Adulto;Medio;In carne;Donna;Rasata;No;Calabria
M;A;Giovane;Medio;In carne;Donna;Rasata;No;Calabria
M;A;Vecchio;Medio;In carne;Donna;Folta;No;Calabria
M;A;Adulto;Alto;In carne;Donna;Folta;Si;Sicilia
M;A;Giovane;Alto;In carne;Donna;Corta;Si;Sicilia
M;A;Vecchio;Alto;In carne;Donna;Rasata;Si;Sicilia
M;A;Adulto;Basso;In carne;Donna;Corta;Si;Sicilia
M;A;Giovane;Basso;In carne;Donna;Folta;Si;Sicilia
M;A;Vecchio;Basso;In carne;Donna;Rasata;Si;Sicilia
M;A;Adulto;Medio;In carne;Donna;Rasata;Si;Sicilia
M;A;Giovane;Medio;In carne;Donna;Rasata;Si;Sicilia
M;A;Vecchio;Medio;In carne;Donna;Folta;Si;Sicilia
M;A;Adulto;Alto;In carne;Donna;Folta;No;Sicilia
M;A;Giovane;Alto;In carne;Donna;Corta;No;Sicilia
M;A;Vecchio;Alto;In carne;Donna;Rasata;No;Sicilia
M;A;Vecchio;Alto;In carne;Maschio;Rasata;Si;Lazio
M;A;Adulto;Basso;In carne;Maschio;Corta;Si;Lazio
M;A;Giovane;Basso;In carne;Maschio;Folta;Si;Lazio
M;A;Vecchio;Basso;In carne;Maschio;Rasata;Si;Lazio
M;A;Adulto;Medio;In carne;Maschio;Rasata;Si;Lazio
M;A;Giovane;Medio;In carne;Maschio;Rasata;Si;Lazio
M;A;Vecchio;Medio;In carne;Maschio;Folta;Si;Lazio
M;A;Adulto;Alto;In carne;Maschio;Folta;No;Lazio
M;A;Giovane;Alto;In carne;Maschio;Corta;No;Lazio
M;A;Vecchio;Alto;In carne;Maschio;Rasata;No;Lazio
M;A;Adulto;Basso;In carne;Maschio;Corta;No;Lazio
M;A;Giovane;Basso;In carne;Maschio;Folta;No;Lazio
M;A;Vecchio;Basso;In carne;Maschio;Rasata;No;Lazio
M;A;Adulto;Medio;In carne;Maschio;Rasata;No;Lazio
M;A;Giovane;Medio;In carne;Maschio;Rasata;No;Lazio
M;A;Vecchio;Medio;In carne;Maschio;Folta;No;Lazio
M;A;Adulto;Alto;In carne;Maschio;Folta;Si;Calabria
M;A;Giovane;Alto;In carne;Maschio;Corta;Si;Calabria
M;A;Vecchio;Alto;In carne;Maschio;Rasata;Si;Calabria
M;A;Adulto;Basso;In carne;Maschio;Corta;Si;Calabria
M;A;Giovane;Basso;In carne;Maschio;Folta;Si;Calabria
M;A;Vecchio;Basso;In carne;Maschio;Rasata;Si;Calabria
M;A;Adulto;Medio;In carne;Maschio;Rasata;Si;Calabria
M;A;Giovane;Medio;In carne;Maschio;Rasata;Si;Calabria
M;A;Vecchio;Medio;In carne;Maschio;Folta;Si;Calabria
M;A;Adulto;Alto;In carne;Maschio;Folta;No;Calabria
M;A;Giovane;Alto;In carne;Maschio;Corta;No;Calabria
M;A;Vecchio;Alto;In carne;Maschio;Rasata;No;Calabria
M;A;Adulto;Basso;In carne;Maschio;Corta;No;Calabria
M;A;Giovane;Basso;In carne;Maschio;Folta;No;Calabria
M;A;Vecchio;Basso;In carne;Maschio;Rasata;No;Calabria
M;A;Adulto;Medio;In carne;Maschio;Rasata;No;Calabria
M;A;Giovane;Medio;In carne;Maschio;Rasata;No;Calabria
M;A;Vecchio;Medio;In carne;Maschio;Folta;No;Calabria
M;A;Adulto;Alto;In carne;Maschio;Folta;Si;Sicilia
M;A;Giovane;Alto;In carne;Maschio;Corta;Si;Sicilia
M;A;Vecchio;Alto;In carne;Maschio;Rasata;Si;Sicilia
M;A;Adulto;Basso;In carne;Maschio;Corta;Si;Sicilia
M;A;Giovane;Basso;In carne;Maschio;Folta;Si;Sicilia
M;A;Vecchio;Basso;In carne;Maschio;Rasata;Si;Sicilia
M;A;Adulto;Medio;In carne;Maschio;Rasata;Si;Sicilia
M;A;Giovane;Medio;In carne;Maschio;Rasata;Si;Sicilia
M;A;Vecchio;Medio;In carne;Maschio;Folta;Si;Sicilia
M;A;Adulto;Alto;In carne;Maschio;Folta;No;Sicilia
M;A;Giovane;Alto;In carne;Maschio;Corta;No;Sicilia
M;A;Vecchio;Alto;In carne;Maschio;Rasata;No;Sicilia
M;A;Adulto;Basso;In carne;Maschio;Corta;No;Sicilia
M;A;Giovane;Basso;In carne;Maschio;Folta;No;Sicilia
M;A;Vecchio;Basso;In carne;Maschio;Rasata;No;Sicilia
M;A;Adulto;Medio;In carne;Maschio;Rasata;No;Sicilia
M;A;Giovane;Medio;In carne;Maschio;Rasata;No;Sicilia
M;A;Vecchio;Medio;In carne;Maschio;Folta;No;Sicilia
M;A;Adulto;Alto;In carne;Donna;Folta;Si;Lazio
M;A;Giovane;Alto;In carne;Donna;Corta;Si;Lazio
M;A;Vecchio;Alto;In carne;Donna;Rasata;Si;Lazio
M;A;Adulto;Basso;In carne;Donna;Corta;Si;Lazio
